_id,Name_song,Genero,Artista,user_id,user_age,analisis,valid,Lyrics
20000,Perfect Duet,pop,Ed Sheeran & Beyonce,[405310030],[35],1,0,"

[Verse 1: Ed Sheeran]
I found a love
For me
Oh darling, just dive right in
And follow my lead
Well, I found a girl
Beautiful and sweet
Oh, I never knew you were the someone
Waitin' for me
'Cause we were just kids when we fell in love
Not knowin' what it was
I will not give you up this time
But darling, just kiss me slow
Your heart is all I own
And in your eyes, you're holding mine

[Chorus 1: Ed Sheeran]
Baby, I'm dancing in the dark
With you between my arms
Barefoot on the grass
Listening to our favourite song
When you said you looked a mess
I whispered underneath my breath
But you heard it
Darling, you look perfect tonight

[Verse 2: Beyoncé]
Well, I found a man
Stronger than anyone I know
He shares my dreams
I hope that someday we'll share a home
I found a love
To carry more than just my secrets
To carry love, to carry children
Of our own
We are still kids, but we're so in love
Fightin' against all odds
I know we'll be alright this time
Darling, just hold my hand
Be your girl, you'll be my man
And I see my future in your eyes

[Chorus 2: Beyoncé, Ed Sheeran & Both]
Well, baby, I'm dancing in the dark
With you between my arms
Barefoot on the grass
While listening to our favorite song
When I saw you in that dress
Looking so beautiful
I don't deserve this
Darling, you look perfect tonight

[Instrumental]

[Chorus 3: Beyoncé, Ed Sheeran & Both]
Baby, I'm dancing in the dark
With you between my arms
Barefoot on the grass
While listenin' to our favorite song
I have faith in what I see
Now I know I have met an angel
In person
And she looks perfect
And he looks perfect
No, I don't deserve this
You look perfect tonight

"
20001,Havana,pop,Camila Cabello,[500737046],[27],1,0,"

[Intro: Pharrell Williams]
Hey

[Chorus: Camila Cabello & Pharrell Williams]
Havana, ooh na-na (ayy)
Half of my heart is in Havana, ooh na-na (ayy, ayy)
He took me back to East Atlanta, na-na-na, ah
Oh, but my heart is in Havana (ayy)
There's somethin' 'bout his manners (uh huh)
Havana, ooh na-na (uh)

[Verse 1: Camila Cabello & Pharrell Williams]
He didn't walk up with that ""how you doin'?"" (uh)
When he came in the room
He said there's a lot of girls I can do with (uh)
But I can't without you
I knew him forever in a minute (hey)
That summer night in June
And papa says he got malo in him (uh)
He got me feelin' like...

[Pre-Chorus: Camila Cabello & Pharrell Williams]
Ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh (ayy)
I knew it when I met him (ayy), I loved him when I left him
Got me feelin' like, ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh
And then I had to tell him, I had to go
Oh na-na-na-na-na (woo)

[Chorus: Camila Cabello & Pharrell Williams]
Havana, ooh na-na (ayy, ayy)
Half of my heart is in Havana, ooh na-na (ayy, ayy)
He took me back to East Atlanta, na-na-na (uh huh)
Oh, but my heart is in Havana (ayy)
My heart is in Havana (ayy)
Havana, ooh na-na

[Verse 2: Young Thug]
Jeffery, just graduated, fresh on campus, mmm
Fresh out East Atlanta with no manners, damn (fresh out East Atlanta)
Bump on her bumper like a traffic jam
Hey, I was quick to pay that girl like Uncle Sam (here you go, ayy)
Back it on me
Shawty cravin' on me, get to eatin' on me (on me)
She waited on me (then what?)
Shawty cakin' on me, got the bacon on me (wait up)
This is history in the makin', on me (on me)
Point blank, close range, that B
If it cost a million, that's me (that's me)
I was gettin' mula, baby

[Chorus: Camila Cabello & Pharrell Williams]
Havana, ooh na-na (ayy, ayy)
Half of my heart is in Havana, ooh na-na (oh, ayy, ayy)
He took me back (uh huh) to East Atlanta, na-na-na (oh, no)
Oh, but my heart is in Havana (ayy)
My heart is in Havana (ayy)
Havana, ooh na-na

[Bridge: Starrah & Camila Cabello]
Ooh na-na, oh, na-na-na (oo-ooh-ooh-ooh-ooh-ooh-ooh)
Take me back, back, back like...
Ooh na-na, oh, na-na-na (yeah, babe)
Take me back, back, back like...
Ooh na-na, oh, na-na-na (yeah, yeah)
Take me back, back, back like...
Ooh na-na, oh, na-na-na (yeah, babe)
Take me back, back, back
Hey, hey...
Ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh (hey)
Ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh (hey)
Take me back to my Havana...

[Chorus: Camila Cabello & Pharrell Williams]
Havana, ooh na-na (hey)
Half of my heart is in Havana, ooh na-na (oh, yeah)
He took me back to East Atlanta, (ayy, ayy) na-na-na
Oh, but my heart is in Havana
My heart is in Havana (ayy)
Havana, ooh na-na

[Outro: Starrah, Camila Cabello & Pharrell Williams]
Uh huh
Oh, na-na-na (oh, na, yeah)
Oh, na-na-na
Oh, na-na-na (no, no, no, take me back)
Oh, na-na-na
Havana, ooh na-na

"
20002,What Lovers Do,pop,Maroon 5,[],[],0,0,"

[Verse 1: Adam Levine]
Say say say, hey hey now baby
Oh mama, don't play now baby
Say say say, hey hey now baby
Said let's get one thing straight now baby

[Chorus: Adam Levine]
Tell me, tell me if you love me or not, love me or not, love me or not?
I'll bet the house on you, am I lucky or not, lucky or not, lucky or not?
You gotta tell me if you love me or not, love me or not, love me or not?
Been wishin' for you, am I lucky or not, lucky or not, lucky or not?

[Hook: Adam Levine]
Ooooh, oooh
Been wishin' for you
Ooh, ooh
Tryna' do what lovers do (ooh)
Ooooh, oooh
Been wishin' for you
Ooh, ooh
Tryna' do what lovers do (ooh)

[Verse 2: SZA & Adam Levine]
Say say say, hey hey now baby
You gonna make me hit you with that lay down, baby (ohhh)
(Ooh) Say say say, hey hey now baby
You know what I need, out the gate now baby (oh, ohhh)

[Chorus: Adam Levine]
Tell me, tell me if you love me or not, love me or not, love me or not?
I'll bet the house on you, am I lucky or not, lucky or not, lucky or not?
You gotta tell me if you love me or not, love me or not, love me or not?
Been wishin' for you am I lucky or not, lucky or not, lucky or not?

[Hook: Adam Levine & SZA]
Ooooh, oooh
Been wishin' for you
Ooh, ooh
Tryna' do what lovers do (ooh)
Ooooh, oooh
Been wishin' for you (wishin')
Ooh, ooh
Tryna' do what lovers do (ooh)

[Refrain: Adam Levine & SZA]
(Hey yeah) What lovers do (oh, ohh)
What lovers do (hmm na na na, hey yeah)
What lovers do (oh, hmm na na na, oh, ohh)

[Bridge: Adam Levine & SZA]
Aren't we too grown for games?
Aren't we too grown to play around?
Young enough to chase
But old enough to know better
Are we too grown for changin'?
Are we too grown to mess around?
Ooh and I can't wait forever baby
Both of us should know better

[Hook: Adam Levine]
Ooooh, oooh
Been wishin' for you
Ooh, ooh
Tryna' do what lovers do (ooh)

[Outro: Adam Levine & SZA]
Ooooh, oooh
Been wishin' for you
Ooh, ooh
Tryna' do what lovers do (ooh)
Ooooh, oooh
Been wishin' for you (you, oh yeah)
Ooh, ooh (ooh)
Tryna' do what lovers do (tryna' do what lovers do,ooh)
Ooooh, oooh
Been wishin' for you (been wishin' for love)
Ooh, ooh
Tryna' do what lovers do (do uhh,ooh)
Ooooh, oooh
Been wishin' for you (tryna' do)
Ooh, ooh
Tryna' do what lovers do (ooh)

"
20003,Wolves,pop,Selena Gomez & Marshmello,[396749095],[19],1,0,"

[Verse 1]
In your eyes, there's a heavy blue
One to love, and one to lose
Sweet divide, a heavy truth
Water or wine, don't make me choose

[Pre-Chorus]
I wanna feel the way that we did that summer night, night
Drunk on a feeling, alone with the stars in the sky

[Chorus]
I've been running through the jungle
I've been running with the wolves
To get to you, to get to you
I've been down the darkest alleys
Saw the dark side of the moon
To get to you, to get to you
I've looked for love in every stranger
Took too much to ease the anger
All for you, yeah, all for you
I've been running through the jungle
I've been crying with the wolves
To get to you, to get to you, to get to you

[Drop]
To get to you
To get to you

[Verse 2]
Your fingertips trace my skin
To places I have never been
Blindly, I am following
Break down these walls and come on in

[Pre-Chorus]
I wanna feel the way that we did that summer night, night
Drunk on a feeling, alone with the stars in the sky

[Chorus]
I've been running through the jungle
I've been running with the wolves
To get to you, to get to you
I've been down the darkest alleys
Saw the dark side of the moon
To get to you, to get to you
I've looked for love in every stranger
Took too much to ease the anger
All for you, yeah, all for you
I've been running through the jungle
I've been crying with the wolves
To get to you, to get to you, to get to you

[Drop]
To get to you
To get to you

[Chorus]
I've been running through the jungle
I've been running with the wolves
To get to you, to get to you
I've been down the darkest alleys
Saw the dark side of the moon
To get to you, to get to you
I've looked for love in every stranger
Took too much to ease the anger
All for you, yeah, all for you
I've been running through the jungle
I've been crying with the wolves
To get to you, to get to you, to get to you

"
20004,How Long,pop,Charlie Puth,[405310030],[35],1,0,"

[Intro]
Alright
Ooh, yeah

[Verse 1]
I'll admit, I was wrong, what else can I say, girl?
Can't you blame my head and not my heart?
I was drunk, I was gone, that don't make it right, but
Promise there were no feelings involved, mmh

[Pre-Chorus]
She said, ""Boy, tell me honestly
Was it real or just for show?"", yeah
She said, ""Save your apologies
Baby, I just gotta know""

[Chorus]
How long has this been goin' on?
You've been creepin' 'round on me
While you're callin' me ""baby""
How long has this been goin' on?
You've been actin' so shady
I've been feelin' it lately, baby

[Post-Chorus]
Ooo-oh (yeah)
Ooo-oh (encore)
Oooh-ooh-oh

[Verse 2]
I'll admit, it's my fault, but you gotta believe me
When I say it only happened once, mmm
I try, and I try, but you'll never see that
You're the only one I wanna love, oh, yeah

[Pre-Chorus]
She said ""Boy, tell me honestly""
""Was it real or just for show?"", yeah
She said, ""Save your apologies""
""Baby, I just gotta know""

[Chorus]
How long has this been goin' on?
You've been creepin' 'round on me
While you're callin' me ""baby""
How long has this been goin' on?
You've been actin' so shady
I've been feelin' it lately, baby

[Post-Chorus]
Ooo-oh (yeah)
Ooo-oh (encore)
Oooh-ooh-oh
How long has this been goin' on, baby?
Ooo-oh (yeah)
Ooo-oh, you gotta go tell me now
Oooh-ooh-oh

[Pre-Chorus]
She said, ""Boy, tell me honestly
Was it real or just for show?"", yeah
She said, ""Save your apologies
Baby, I just gotta know""

[Chorus]
How long has this been goin' on?
And you' been creepin' 'round on me
While you're callin' me ""baby""
How long has this been goin' on?
You've been actin' so shady
I've been feelin' it lately, baby

[Post-Chorus]
(Ooo-oh, yeah)
How long has this been goin' on?
(Ooh, encore)
You've been creepin' 'round on me
(Oooh-ooh-oh)
How long has it been goin' on, baby? Oh
(Ooo-oh)
How long has this been goin' on?
(Ooh, encore)
(You gotta go tell me now)
(Oooh-ooh-oh)
You've been actin' so shady
I've been feelin' it lately, baby

"
20005,New Rules,pop,Dua Lipa,[],[],0,0,"

[Intro]
One, one, one, one, one...

[Verse 1]
Talkin' in my sleep at night, makin' myself crazy
(Out of my mind, out of my mind)
Wrote it down and read it out, hopin' it would save me
(Too many times, too many times)
My love, he makes me feel like nobody else, nobody else
But my love, he doesn't love me, so I tell myself, I tell myself

[Pre-Chorus]
One: Don't pick up the phone
You know he's only callin' 'cause he's drunk and alone
Two: Don't let him in
You'll have to kick him out again
Three: Don't be his friend
You know you're gonna wake up in his bed in the morning
And if you're under him, you ain't gettin' over him

[Chorus]
I got new rules, I count 'em
I got new rules, I count 'em
I gotta tell them to myself
I got new rules, I count 'em
I gotta tell them to myself

[Verse 2]
I keep pushin' forwards, but he keeps pullin' me backwards
(Nowhere to turn, no way)
(Nowhere to turn, no)
Now I'm standin' back from it, I finally see the pattern
(I never learn, I never learn)
But my love, he doesn't love me, so I tell myself, I tell myself
I do, I do, I do

[Pre-Chorus]
One: Don't pick up the phone
You know he's only callin' 'cause he's drunk and alone
Two: Don't let him in
You'll have to kick him out again
Three: Don't be his friend
You know you're gonna wake up in his bed in the morning
And if you're under him, you ain't gettin' over him

[Chorus]
I got new rules, I count 'em
I got new rules, I count 'em
I gotta tell them to myself
I got new rules, I count 'em
I gotta tell them to myself

[Bridge]
Practice makes perfect
I'm still tryna learn it by heart (I got new rules, I count 'em)
Eat, sleep, and breathe it
Rehearse and repeat it, 'cause I... (I got new...)

[Pre-Chorus]
One: Don't pick up the phone (yeah)
You know he's only callin' 'cause he's drunk and alone (alone)
Two: Don't let him in (uh-ooh)
You'll have to kick him out again (again)
Three: Don't be his friend
You know you're gonna wake up in his bed in the morning
And if you're under him, you ain't gettin' over him

[Chorus]
I got new rules, I count 'em
I got new rules, I count 'em
(Whoa-ooh, whoa-ooh, whoa)
I gotta tell them to myself
I got new rules, I count 'em
(Baby, you know I count 'em)
I gotta tell them to myself

[Outro]
Don't let him in, don't let him in
Don't, don't, don't, don't...
Don't be his friend, don't be his friend
Don't, don't, don't, don't...
Don't let him in, don't let him in
Don't, don't, don't, don't...
Don't be his friend, don't be his friend
Don't, don't, don't, don't...
You're gettin' over him

"
20006,Dusk Till Dawn,pop,ZAYN,[],[],0,0,"

[Verse 1: ZAYN]
Not tryna be indie
Not tryna be cool
Just tryna be in this
Tell me, are you too?
Can you feel where the wind is?
Can you feel it through
All of the windows
Inside this room?

[Interlude: ZAYN]
'Cause I wanna touch you baby
And I wanna feel you too
I wanna see the sunrise
On your sins just me and you

[Pre-Chorus: ZAYN & Sia]
Light it up, on the run
Let's make love tonight
Make it up, fall in love, try

[Chorus: ZAYN & Sia]
But you'll never be alone
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I am right here
I'll hold you when things go wrong
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I am right here

[Post-Chorus: ZAYN & Sia]
I'll be with you from dusk till dawn
Baby, I am right here

[Verse 2: ZAYN]
We were shut like a jacket
So do your zip
We would roll down the rapids
To find a wave that fits
Can you feel where the wind is?
Can you feel it through
All of the windows
Inside this room?

[Interlude: ZAYN & Sia]
'Cause I wanna touch you baby
And I wanna feel it too
I wanna see the sunrise
On your sins just me and you

[Pre-Chorus: ZAYN & Sia]
Light it up, on the run
Let's make love tonight
Make it up, fall in love, try

[Chorus: ZAYN & Sia]
But you'll never be alone
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I am right here
I'll hold you when things go wrong
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I am right here

[Post-Chorus: ZAYN & Sia]
I'll be with you from dusk till dawn
Baby, I am right here

[Bridge: ZAYN & Sia]
Could give love to your body
So, only you that can stop it
Go, give love to your body
So, only you that can stop it
Go, give love to your body
So, only you that can stop it
Go, give love to your body
Go, give love to your body

[Chorus: ZAYN & Sia]
But you'll never be alone
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I am right here
I'll hold you when things go wrong
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I am right here

[Post-Chorus: ZAYN & Sia]
I'll be with you from dusk till dawn
Baby, I am right here

[Outro: ZAYN & Sia]
I'll be with you from dusk till dawn
Baby, I am right here

"
20007,Tip Toe,pop,Jason Derulo,[480450152],[15],1,0,"

[Intro: Jason Derulo & Soaky Siren]
Derulo
Wine fa me darlin'
Way you move ya spine is alarmin'
Mi wan you just...

[Verse 1: Jason Derulo]
Big fat thang, overflowin'
Skin tight dress, couldn't hold it
Way too thick like it's swollen
Girl, you're too bad and you know it
When you drop down, lose focus
When that thing clap, that's a bonus
Mmm, that cake looking appetizing
Backpack full, that's a crisis

[Pre-Chorus: Jason Derulo]
Bring that body my way
Can't take it off my brain
Look like you do ballet, yeah

[Chorus: Jason Derulo]
Hold tight when you tip toe (oh, oh, oh, oh)
Shake something when you tip toe (girl, oh, oh, oh, oh)
No breaks when you push that back
Left, right, do it just like that
Hold tight when you tip toe (oh, oh, oh, oh)

[Verse 2: Jason Derulo]
Ayo, God bless you from behind and (I do)
One hand up like the Heisman (touchdown)
First class seat when ya ridin' (oh yeah)
Wind that thing like ya spineless

[Pre-Chorus: Jason Derulo]
Bring that body my way (my way)
Can't take it off my brain (my brain)
Look like you do ballet, yeah

[Chorus: Jason Derulo]
Hold tight when you tip toe (oh, oh, oh, oh)
Shake something when you tip toe (girl, oh, oh, oh, oh)
No breaks when you push that back (that back)
Left, right, do it just like that (like that)
Hold tight when you tip toe (oh, oh, oh, oh)

[Bridge: Soaky Siren]
Wine fa me darlin'
Way you move ya spine is alarmin'
Mi wan you just wine fa me, darlin' (oh, oh, oh, oh)

[Verse 3: Jason Derulo & (French Montana)]
Oooh, one, tryna figure out who to give ya love
Two, dancin' like a freak 'til a quarter past
Three, you know I'm the one you been looking for
(Montana, ha)

[Verse 4: French Montana & Jason Derulo & Both]
Left cheek, right cheek, left cheek, right cheek (oh, no)
Left cheek, right cheek, left cheek, right cheek (ayy, ayy)
Tip toe (tip toe), tip toe (tip toe)
Chains on, got me lookin' like a disco (a disco)
Who that be? And that drop be Mansory (skrrt)
Who that be? Blowin' gas out the 'rari (sk-skrrt)
French vanilla smooth like a 100-year wine
Come sneak up from behind, ""What's ya name?""
""What's ya sign?"" (Huh)
Wine fa me, darlin'
""You want to dock in or fly out??""
Wine fa me, darlin'
""Baby, you want to lease, rent, or buy out??""
Wine fa me, darlin'
When dat money keep blowin', swat, why shorty tip toein'
Got ya left cheek shown, mama
Tip (huh)

[Pre-Chorus: Jason Derulo]
Bring that body my way (my way)
Can't take it off my brain
Look like you do ballet, oh

[Chorus: Jason Derulo]
Hold tight when you tip toe (when you tip toe, shake something) (oh, oh, oh, oh)
Shake something when you tip toe (when you tip toe) (oh, oh, oh, oh)
Uh, no breaks when you push that back (that back)
Left, right, do it just like that (like that)
Hold tight when you tip toe (when you tip toe) (oh, oh, oh, oh)

[Outro: Jason Derulo & Soaky Siren]
Hold tight when ya
Wine fa me, darlin' (oh yeah)
Way you move ya spine is alarmin' (oh yeah)
Mi wan you just wine fa me, darlin' (oh yeah)
One-time, two-time for the DJ
Tip toe

"
20008,Anywhere,pop,Rita Ora,[],[],0,0,"

[Verse 1]
Time flies by when the night is young
Daylight shines on an undisclosed location, location
Bloodshot eyes looking for the sun
Paradise delivered and we call it a vacation, vacation

[Pre-Chorus]
You're painting me a dream that I
Wanna belong in, wanna belong in

[Chorus]
Over the hills and far away
A million miles from L.A
Just anywhere away with you
I know we've got to get away
Someplace where no one knows our name
We'll find the start to something new
Just take me anywhere, take me anywhere
Anywhere away with you
Just take me anywhere, take me anywhere
Anywhere away with you

[Post-Chorus]
Fun, little less fun
Little less, over, over, over, over, me
Oh, fun, little less fun
Little less, over, over, over, over, me

[Verse 2]
Truth comes out when we're blacking out
Looking for connection in a crowd of empty faces, empty faces
Your secrets are the only thing I'm craving now
The good, and the bad, let me in
'Cause I can take it, I can take it

[Pre-Chorus]
You're painting me a dream that I
Wanna belong in, wanna belong in

[Chorus]
Over the hills and far away
A million miles from L.A
Just anywhere away with you
I know we've got to get away
Someplace where no one knows our name
We'll find the start to something new
Just take me anywhere, take me anywhere
Anywhere away with you
Just take me anywhere, take me anywhere
Anywhere away with you

[Post-Chorus]
Fun, little less fun
Little less, over, over, over, over, me
Oh, fun, little less fun
Little less, over, over, over, over, me

[Bridge]
Take me anywhere
Oh, anywhere
Anywhere away with you
Take me anywhere

[Chorus]
Over the hills and far away
A million miles from L.A
Just anywhere away with you
I know we've got to get away
Someplace where no one knows our name
We'll find the start to something new
Just take me anywhere, take me anywhere
Anywhere away with you
Just take me anywhere, take me anywhere
Anywhere away with you

[Post-Chorus]
Fun, little less fun
Little less, over, over, over, over, me
Oh

"
20009,Guerrera,pop,C. Tangana,[41432574],[37],1,0,"


Letra de ""Guerrera"" ft. Dellafuente[Estribillo: C. Tangana]
Ella, que ha nacido modelo, diva y superestrella
Deja el mundo menos bonito cuando se aleja
Riendo porque mi alma le llora y queja
(Es una guerrera)

[Verso 1: Dellafuente]
Ella tiene arsenal, ella, pa' cargarse a cualquiera
Le gusta viajar, ella, pega'ita a mi vera
Tiene el pedal, ella, cuando quiere acelera
Adicta a pelear, es una guerrera
(Eso es)

Lo juro, me muera
Es una guerrera
Lo juro, me muera
Lo juro, me muera

[Verso 2: Dellafuente & C. Tangana]
Ella roba en las tiendas
Atraca los bancos, se entera de to' los santos
Se sabe el nombre del jurado
Tiene fichados los horarios
Tiene una hacienda, tres o cuatro barcos
Un M4 y un Lambo
Tiene cuero y piel en el armario
Un nombre hecho por todo el barrio
Y ella cierra los ojos y ve
A través de las paredes
Tiene la fuerza de mil hombres
Y yo me pierdo en su timidez
Eso...

[Estribillo: C. Tangana & Dellafuente]
Ella, que ha nacido modelo, diva y superestrella
Deja el mundo menos bonito cuando se aleja
Riendo porque mi alma le llora y queja
Es una guerrera, ella
Lo juro, me muera, ella
Es una guerrera, ella
Lo juro, me muera, ella
Eso es

[Verso 3: Dellafuente]
Y el orgullo me robó
A punta de Kalashnikov
Y mi cerebro secuestró
Calla'ita con silenciador
Y ahora to'l mundo sabe:
Que tiene arsenal pa' cargarse a cualquiera
Le encanta viajar pega'íta a mi vera
Ella, tiene el pedal, y cuando quiere acelera
Adicta a pelear, es una guerrera
(Eso es)

[Outro: C. Tangana & Dellafuente]
Ella, lo juro, me muera
Ella, es una guerrera
Lo juro, me muera
Ella, lo juro, me muera...

"
