Codigo_cancion,Name_song,Genero,Artista,user_id,user_age,analisis,valid
30000,Deja Que Te Bese,romantica,Alejandro Sanz,166363070,23,4,0
30000,Deja Que Te Bese,romantica,Alejandro Sanz,77938606,33,4,0
30000,Deja Que Te Bese,romantica,Alejandro Sanz,396749095,19,4,0
30000,Deja Que Te Bese,romantica,Alejandro Sanz,313183839,69,4,0
30001,Espectacular,romantica,Fangoria,405310030,35,5,1
30001,Espectacular,romantica,Fangoria,429520994,31,5,1
30001,Espectacular,romantica,Fangoria,194643121,44,5,1
30001,Espectacular,romantica,Fangoria,545227712,15,5,1
30001,Espectacular,romantica,Fangoria,487216933,24,5,1
30002,"Yo Contigo, Tú Conmigo (The Gong Gong Song)",romantica,Morat,45254362,35,2,0
30002,"Yo Contigo, Tú Conmigo (The Gong Gong Song)",romantica,Morat,7846574,42,2,0
30003,Míranos,romantica,Álex Ubago,388019140,16,1,0
